Invoice No,Order No,Sales Rep Name,SITE,Date,Ship to Country,Market Segment,Quantity,Unit Cost,Unit Price,Total Profit USD,Total Cost USD,Total Value USD
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,100,49.4459,86.122,"$2,677 ","$3,636 ",6313
24401219,23200772,SBEA,T,2024-06-28,US,TA,105,49.4459,86.122,"$2,811 ","$3,818 ",6629
24401219,23200772,SBEA,T,2024-06-28,US,TA,105,49.4459,86.122,"$2,811 ","$3,818 ",6629
24401219,23200772,SBEA,T,2024-06-28,US,TA,81,49.4459,86.122,"$2,169 ","$2,945 ",5114
24401220,23201793,THOU,T,2024-06-28,US,IC,72,33.7828,50.052,$853 ,"$1,789 ",2642
24401221,24200135,SBEA,T,2024-06-28,US,TA,1931,1.4392,5.375,"$5,565 ","$2,043 ",7608
24401221,24200135,SBEA,T,2024-06-28,US,TA,69,1.4391,5.375,$199 ,$73 ,272
24401221,24200135,SBEA,T,2024-06-28,US,TA,1000,1.4392,5.375,"$2,882 ","$1,058 ",3940
24401221,24200135,SBEA,T,2024-06-28,US,TA,2000,1.4392,5.375,"$5,764 ","$2,116 ",7880
24401222,24200186,SBEA,T,2024-06-28,US,TA,52,44.5723,73.203,"$1,086 ","$1,704 ",2790
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,108,44.5724,73.203,"$2,256 ","$3,540 ",5795
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,105,44.5724,73.203,"$2,193 ","$3,441 ",5634
24401222,24200186,SBEA,T,2024-06-28,US,TA,110,44.5724,73.203,"$2,297 ","$3,605 ",5903
24401222,24200186,SBEA,T,2024-06-28,US,TA,100,44.5724,73.203,"$2,089 ","$3,277 ",5366
24401222,24200186,SBEA,T,2024-06-28,US,TA,105,44.5724,73.203,"$2,193 ","$3,441 ",5634
24401222,24200186,SBEA,T,2024-06-28,US,TA,110,44.5724,73.203,"$2,297 ","$3,605 ",5903
24401222,24200186,SBEA,T,2024-06-28,US,TA,105,44.5724,73.203,"$2,193 ","$3,441 ",5634
24401222,24200186,SBEA,T,2024-06-28,US,TA,105,44.5724,73.203,"$2,193 ","$3,441 ",5634
24401223,24200358,GXAV,T,2024-06-28,US,TE,500,9.4018,31.513,"$8,093 ","$3,457 ",11550
24401224,24200698,GXAV,T,2024-06-28,US,TE,400,38.4669,74.99,"$10,674 ","$11,314 ",21988
24401225,24200785,THOU,T,2024-06-28,US,IC,50,26.6842,34.76,$293 ,$981 ,1274
24401225,24200785,THOU,T,2024-06-28,US,IC,92,26.6841,34.76,$539 ,"$1,805 ",2344
24401226,24200932,THOU,T,2024-06-28,US,IC,1000,23.9828,5.552,"($13,564)","$17,634 ",4070
24401227,24201001,AMIN,T,2024-06-28,CA,OL,50,7.9504,14.08,$412 ,$292 ,704
24401227,24201001,AMIN,T,2024-06-28,CA,OL,50,7.9504,14.08,$412 ,$292 ,704
317072,23250649,WMOR,D,2024-06-28,US,TE,35,2280.4391,2837.536,"$14,112 ","$58,688 ",72800
317074,24250015,KTIE,D,2024-06-28,US,NW,13,3147.7569,5020.256,"$17,751 ","$30,089 ",47840
317075,24250065,SGOY,D,2024-06-28,CA,TR,15,205.554,235.979,$328 ,"$2,267 ",2595
317076,24250409,OGAL,D,2024-06-28,CA,PP,2,826.035,2017,"$2,819 ","$1,215 ",4034
24002275,24101731,FBER,B,2024-06-27,US,TR,1,119.91,156,$36 ,$120 ,156
24002275,24101731,FBER,B,2024-06-27,US,TR,1,0,0,$0 ,$0 ,0
24002276,24101453,DGAS,B,2024-06-27,US,PO,50,11.9718,21.69,$486 ,$599 ,1085
24002276,24101453,DGAS,B,2024-06-27,US,PO,1,0,0,$0 ,$0 ,0
24002277,24101524,MRHO,B,2024-06-27,US,PO,100,17.6499,55.86,"$3,821 ","$1,765 ",5586
24002277,24101524,MRHO,B,2024-06-27,US,PO,1,0,0,$127 ,$0 ,127
24002278,24101582,MWIS,B,2024-06-27,US,PO,50,2.4282,9.15,$336 ,$121 ,458
24002278,24101582,MWIS,B,2024-06-27,US,PO,50,3.8474,12.48,$432 ,$192 ,624
24002278,24101582,MWIS,B,2024-06-27,US,PO,1,0,0,$0 ,$0 ,0
24002279,23103526,BHOU,B,2024-06-27,US,TC,15000,2.5959,3.2,"$9,062 ","$38,939 ",48000
24002280,24100013,MRHO,B,2024-06-27,US,PS,100,4.1159,4.56,$44 ,$412 ,456
24002280,24100013,MRHO,B,2024-06-27,US,PS,1,0,0,$0 ,$0 ,0
24002281,24100633,KTIE,B,2024-06-27,US,NW,1400,26.5145,61.96,"$49,624 ","$37,120 ",86744
24002282,24100639,KTIE,B,2024-06-27,US,NW,900,10.8147,29.74,"$17,033 ","$9,733 ",26766
24002283,24100973,MWIS,B,2024-06-27,US,PV,24,12.8154,25.64,$308 ,$308 ,615
24002283,24100973,MWIS,B,2024-06-27,US,PV,1,0,0,$0 ,$0 ,0
24002284,24101441,MWIS,B,2024-06-27,US,OL,100,5.319,16.59,"$1,127 ",$532 ,1659
24002284,24101441,MWIS,B,2024-06-27,US,OL,1,0,0,$0 ,$0 ,0
24002285,24101523,DGAS,B,2024-06-27,US,PP,24,17.6704,31.04,$321 ,$424 ,745
24002285,24101523,DGAS,B,2024-06-27,US,PP,1,0,0,$0 ,$0 ,0
24002286,24101547,MRHO,B,2024-06-27,US,TE,20,220,385,"$3,300 ","$4,400 ",7700
24002286,24101547,MRHO,B,2024-06-27,US,TE,1,0,174.88,$175 ,$0 ,175
24002287,24101568,MWIS,B,2024-06-27,US,PO,50,4.9622,12.23,$363 ,$248 ,612
24002287,24101568,MWIS,B,2024-06-27,US,PO,50,8.6934,14.31,$281 ,$435 ,716
24002287,24101568,MWIS,B,2024-06-27,US,PO,1,0,0,$39 ,$0 ,39
24002288,24101576,DGAS,B,2024-06-27,US,OL,24,3.8588,15.59,$282 ,$93 ,374
24002288,24101576,DGAS,B,2024-06-27,US,OL,1,0,0,$0 ,$0 ,0
24002289,24101592,MRHO,B,2024-06-27,US,OL,20,7.373,37.35,$600 ,$147 ,747
24002289,24101592,MRHO,B,2024-06-27,US,OL,1,0,0,$0 ,$0 ,0
24401207,24200409,GXAV,T,2024-06-27,US,TE,300,38.4669,92.165,"$11,783 ","$8,485 ",20268
24401208,24200668,THOU,T,2024-06-27,US,IC,462,1.378,11.841,"$3,542 ",$468 ,4010
24401208,24200668,THOU,T,2024-06-27,US,IC,30,1.378,11.841,$230 ,$30 ,260
24401209,24200139,FBER,T,2024-06-27,US,TE,3000,38.4669,89,"$110,867 ","$84,853 ",195720
24401210,24200719,SGOY,T,2024-06-27,CA,TE,150,4.7187,7.17,$555 ,$520 ,1076
24401211,24200873,AMIN,T,2024-06-27,CA,OL,25,19.0768,46.59,$814 ,$351 ,1165
24401212,24200908,OGAL,T,2024-06-27,CA,PO,200,4.2643,10.65,"$1,503 ",$627 ,2130
24401213,24200910,AMIN,T,2024-06-27,CA,PM,4,25.425,109.32,$363 ,$75 ,437
24401214,24200914,OGAL,T,2024-06-27,CA,PO,5,6.49,71.61,$334 ,$24 ,358
24401215,24200947,AMIN,T,2024-06-27,CA,PO,4,10.82,43.73,$143 ,$32 ,175
24401216,24200970,SGOY,T,2024-06-27,CA,NH,12,12.4083,56.13,$564 ,$109 ,674
24401217,24200993,AMIN,T,2024-06-27,CA,PM,24,19.8729,80.39,"$1,579 ",$351 ,1929
24401218,24201007,AMIN,T,2024-06-27,CA,NM,12,22.1025,149.42,"$1,598 ",$195 ,1793
317066,24250083,FBER,D,2024-06-27,US,PS,10,2770.859,12727.345,"$72,921 ","$20,374 ",93295
317066,24250083,FBER,D,2024-06-27,US,PS,1,0.01,0,$0 ,$0 ,0
317067,24250204,JAKI,D,2024-06-27,CA,NW,4,28588.005,43378.832,"$43,110 ","$84,082 ",127192
317068,24250352,MWIS,D,2024-06-27,US,OL,5,63.626,462.655,"$1,462 ",$234 ,1696
317069,24250406,MWIS,D,2024-06-27,US,OL,5,63.626,462.655,"$1,462 ",$234 ,1696
317070,24250478,WMOR,D,2024-06-27,US,TR,24,4.6446,15.961,$199 ,$82 ,281
317070,24250478,WMOR,D,2024-06-27,US,TR,24,3.9138,13.519,$169 ,$69 ,238
317070,24250478,WMOR,D,2024-06-27,US,TR,24,0.7383,13.519,$225 ,$13 ,238
24002247,23103144,BHOU,B,2024-06-26,ME,IC,20,167.63,219.7,"$1,041 ","$3,353 ",4394
24002247,23103144,BHOU,B,2024-06-26,ME,IC,25,18.9,46.9,$700 ,$473 ,1173
24002247,23103144,BHOU,B,2024-06-26,ME,IC,10,68.34,179.9,"$1,116 ",$683 ,1799
24002248,23102309,BHOU,B,2024-06-26,AU,IC,9,92.6,140.06,$427 ,$833 ,1261
24002250,24100362,BHOU,B,2024-06-26,AU,IC,1,35.79,81.62,$46 ,$36 ,82
24002251,24100349,GXAV,B,2024-06-26,US,TR,500,7.8809,15.64,"$3,880 ","$3,940 ",7820
24002252,24100106,KTIE,B,2024-06-26,US,NT,5,14.25,58.54,$221 ,$71 ,293
24002252,24100106,KTIE,B,2024-06-26,US,NT,21,14.249,58.54,$930 ,$299 ,1229
24002252,24100106,KTIE,B,2024-06-26,US,NT,22,14.2491,58.54,$974 ,$313 ,1288
24002252,24100106,KTIE,B,2024-06-26,US,NT,1,0,0,$0 ,$0 ,0
24002253,24100765,OGAL,B,2024-06-26,US,PO,49,29.0961,62.47,"$1,635 ","$1,426 ",3061
24002253,24100765,OGAL,B,2024-06-26,US,PO,1,0,0,$73 ,$0 ,73
24002254,24100817,SBEA,B,2024-06-26,US,TA,500,39.699,58.09,"$9,196 ","$19,850 ",29045
24002254,24100817,SBEA,B,2024-06-26,US,TA,1,0,0,$0 ,$0 ,0
24002255,24101517,FBER,B,2024-06-26,US,TR,24,8.5292,9.87,$32 ,$205 ,237
24002255,24101517,FBER,B,2024-06-26,US,TR,1,0,0,$0 ,$0 ,0
24002256,24100122,OGAL,B,2024-06-26,US,PM,40,13.257,32.86,$784 ,$530 ,1314
24002256,24100122,OGAL,B,2024-06-26,US,PM,1,0,0,$0 ,$0 ,0
24002257,24100426,GXAV,B,2024-06-26,US,TE,100,7.1009,12.4,$530 ,$710 ,1240
24002257,24100426,GXAV,B,2024-06-26,US,TE,1,0,0,$0 ,$0 ,0
24002258,24100518,DGAS,B,2024-06-26,US,PS,16072,0.3563,0.94,"$9,381 ","$5,726 ",15108
24002259,24100626,MRHO,B,2024-06-26,US,PS,2000,0.5076,1.99,"$2,965 ","$1,015 ",3980
24002259,24100626,MRHO,B,2024-06-26,US,PS,1,0,0,$0 ,$0 ,0
24002260,24100627,MRHO,B,2024-06-26,US,PS,2000,0.5365,5.45,"$9,827 ","$1,073 ",10900
24002260,24100627,MRHO,B,2024-06-26,US,PS,1,0,0,$0 ,$0 ,0
24002261,24100634,KTIE,B,2024-06-26,US,NW,2400,28.2459,47.88,"$47,122 ","$67,790 ",114912
24002262,24100906,KTIE,B,2024-06-26,US,NW,1000,23.7048,35.9,"$12,195 ","$23,705 ",35900
24002263,24100966,KTIE,B,2024-06-26,US,NW,288,10.8752,21.58,"$3,083 ","$3,132 ",6215
24002263,24100966,KTIE,B,2024-06-26,US,NW,1,0,0,$452 ,$0 ,452
24002264,24101055,KTIE,B,2024-06-26,US,NW,27,25.5085,36.91,$308 ,$689 ,997
24002264,24101055,KTIE,B,2024-06-26,US,NW,1,0,0,$49 ,$0 ,49
24002265,24101167,DGAS,B,2024-06-26,US,PV,75,5.8003,14.86,$679 ,$435 ,1115
24002265,24101167,DGAS,B,2024-06-26,US,PV,1,0,0,$0 ,$0 ,0
24002266,24101238,GXAV,B,2024-06-26,US,TR,24,8.5829,12.01,$82 ,$206 ,288
24002266,24101238,GXAV,B,2024-06-26,US,TR,1,0,0,$0 ,$0 ,0
24002267,24101317,GXAV,B,2024-06-26,US,TE,200,16.1338,49.2,"$6,613 ","$3,227 ",9840
24002267,24101317,GXAV,B,2024-06-26,US,TE,1,0,0,$0 ,$0 ,0
24002268,24101452,MRHO,B,2024-06-26,US,TR,60,10.56,23.02,$748 ,$634 ,1381
24002268,24101452,MRHO,B,2024-06-26,US,TR,1,0,0,$0 ,$0 ,0
24002269,24101514,DGAS,B,2024-06-26,US,PP,64,16.3023,27.23,$699 ,"$1,043 ",1743
24002269,24101514,DGAS,B,2024-06-26,US,PP,1,0,0,$0 ,$0 ,0
24002270,24101515,DGAS,B,2024-06-26,US,PP,16,7.7456,19.77,$192 ,$124 ,316
24002270,24101515,DGAS,B,2024-06-26,US,PP,1,0,0,$0 ,$0 ,0
24002271,24101564,DGAS,B,2024-06-26,US,PP,10,3.738,15.18,$114 ,$37 ,152
24002271,24101564,DGAS,B,2024-06-26,US,PP,1,0,0,$0 ,$0 ,0
24002272,24101569,MWIS,B,2024-06-26,US,PO,24,46.5992,67.98,$513 ,"$1,118 ",1632
24002272,24101569,MWIS,B,2024-06-26,US,PO,1,0,22.73,$23 ,$0 ,23
24002273,24101734,OGAL,B,2024-06-26,US,OL,2,632.5,1235,"$1,205 ","$1,265 ",2470
24002273,24101734,OGAL,B,2024-06-26,US,OL,1,0,0,$0 ,$0 ,0
24002274,24101737,BHOU,B,2024-06-26,CA,IC,2,85.735,115.96,$60 ,$171 ,232
24002274,24101737,BHOU,B,2024-06-26,CA,IC,2,158.61,214.58,$112 ,$317 ,429
24002274,24101737,BHOU,B,2024-06-26,CA,IC,2,131.305,171.59,$81 ,$263 ,343
24002274,24101737,BHOU,B,2024-06-26,CA,IC,1,417.97,633.32,$215 ,$418 ,633
24002274,24101737,BHOU,B,2024-06-26,CA,IC,10,154.568,209.11,$545 ,"$1,546 ",2091
24401200,24200866,THOU,T,2024-06-26,US,IC,1100,24.7982,5.552,"($15,580)","$20,057 ",4477
24401201,24200663,AMIN,T,2024-06-26,CA,TE,398,23.9838,27.84,"$4,062 ","$7,019 ",11080
24401202,24200882,AMIN,T,2024-06-26,CA,PO,12,13.0767,89.324,$957 ,$115 ,1072
24401203,24200907,AMIN,T,2024-06-26,CA,PP,11,12.4055,75.41,$729 ,$100 ,830
24401204,24200946,AMIN,T,2024-06-26,CA,PM,8,16.7763,100,$701 ,$99 ,800
24401205,24200951,AMIN,T,2024-06-26,CA,PM,10,14.826,46.15,$352 ,$109 ,462
24401206,24200968,JAKI,T,2024-06-26,CA,NW,10,93.093,118.19,$497 ,$685 ,1182
317062,24250294,OGAL,D,2024-06-26,US,PO,20,30.5705,121.864,"$1,337 ",$450 ,1787
317063,24250305,MWIS,D,2024-06-26,US,PI,25,35.308,117.021,"$1,495 ",$649 ,2145
317064,24250318,MWIS,D,2024-06-26,US,PI,25,35.308,117.021,"$1,495 ",$649 ,2145
317065,23250884,SGOY,D,2024-06-26,CA,TE,1800,14.0607,21.21,"$19,568 ","$18,610 ",38178
24002226,23103300,FBER,B,2024-06-25,US,TR,200,6.9181,11.86,$988 ,"$1,384 ",2372
24002226,23103300,FBER,B,2024-06-25,US,TR,1,0,0,$0 ,$0 ,0
24002227,24100343,FBER,B,2024-06-25,US,TR,1368,10.2559,14.79,"$6,203 ","$14,030 ",20233
24002228,24100349,GXAV,B,2024-06-25,US,TR,1,0,0,$0 ,$0 ,0
24002229,24100516,DGAS,B,2024-06-25,US,NM,500,10.778,17.09,"$3,156 ","$5,389 ",8545
24002229,24100516,DGAS,B,2024-06-25,US,NM,1,0,0,$0 ,$0 ,0
24002230,24101307,MRHO,B,2024-06-25,US,NT,50,17.174,42.29,"$1,256 ",$859 ,2115
24002230,24101307,MRHO,B,2024-06-25,US,NT,1,0,0,$0 ,$0 ,0
24002231,24101491,FBER,B,2024-06-25,US,TR,150,3.2434,3.78,$80 ,$487 ,567
24002231,24101491,FBER,B,2024-06-25,US,TR,1,0,0,$0 ,$0 ,0
24002232,23102293,FBER,B,2024-06-25,US,NO,1000,7.9506,11.74,"$3,789 ","$7,951 ",11740
24002233,23102574,BHOU,B,2024-06-25,AU,IC,299,35.79,81.62,"$13,703 ","$10,701 ",24404
24002234,23102963,SBEA,B,2024-06-25,US,TA,50,20.17,142.93,"$6,138 ","$1,009 ",7147
24002234,23102963,SBEA,B,2024-06-25,US,TA,1,0,0,$0 ,$0 ,0
24002235,23103113,MWIS,B,2024-06-25,US,PS,1500,1.284,4.36,"$4,614 ","$1,926 ",6540
24002235,23103113,MWIS,B,2024-06-25,US,PS,1,0,0,$0 ,$0 ,0
24002236,24100672,FBER,B,2024-06-25,US,NO,300,135.3137,169.14,"$10,148 ","$40,594 ",50742
24002237,24100675,,B,2024-06-25,US,TE,350,5.1317,16.95,"$4,136 ","$1,796 ",5933
24002237,24100675,,B,2024-06-25,US,TE,1,0,0,$492 ,$0 ,492
24002238,24101114,SGOY,B,2024-06-25,CA,TR,100,10.0619,10.76,$70 ,"$1,006 ",1076
24002239,24101602,MRHO,B,2024-06-25,US,NO,5,103.7,677.41,"$2,869 ",$519 ,3387
24002240,24100137,SBEA,B,2024-06-25,US,TA,1000,1.9159,4.59,"$2,674 ","$1,916 ",4590
24002240,24100137,SBEA,B,2024-06-25,US,TA,1,0,0,$0 ,$0 ,0
24002241,24100761,KTIE,B,2024-06-25,US,NW,7,26.5143,61.96,$248 ,$186 ,434
24002242,24100781,KTIE,B,2024-06-25,US,NW,1400,34.7915,48.08,"$18,604 ","$48,708 ",67312
24002242,24100781,KTIE,B,2024-06-25,US,NW,1200,25.021,41.11,"$19,307 ","$30,025 ",49332
24002242,24100781,KTIE,B,2024-06-25,US,NW,1400,28.2459,45.96,"$24,800 ","$39,544 ",64344
24002243,24101031,MWIS,B,2024-06-25,US,PV,24,5.3929,13.78,$201 ,$129 ,331
24002243,24101031,MWIS,B,2024-06-25,US,PV,1,0,0,$0 ,$0 ,0
24002244,24101104,MWIS,B,2024-06-25,US,PV,24,9.6404,19.45,$235 ,$231 ,467
24002244,24101104,MWIS,B,2024-06-25,US,PV,1,0,0,$0 ,$0 ,0
24002245,24101424,OGAL,B,2024-06-25,US,OL,10,269.5,861,"$5,915 ","$2,695 ",8610
24002245,24101424,OGAL,B,2024-06-25,US,OL,1,0,0,$0 ,$0 ,0
24002246,24101551,MWIS,B,2024-06-25,US,PO,8,10.3625,52.24,$335 ,$83 ,418
24002246,24101551,MWIS,B,2024-06-25,US,PO,1,0,0,$0 ,$0 ,0
24401192,24200310,GXAV,T,2024-06-25,US,TE,200,9.4018,31.513,"$3,237 ","$1,383 ",4620
24401193,24200806,THOU,T,2024-06-25,US,IC,41,65.1973,90.706,$761 ,"$1,966 ",2726
24401194,22200952,AMIN,T,2024-06-25,CA,TE,23,218.2722,319.47,"$3,656 ","$3,691 ",7348
24401195,24200535,SGOY,T,2024-06-25,CA,NH,121,24.4601,69.2,"$6,197 ","$2,176 ",8373
24401196,24200903,AMIN,T,2024-06-25,CA,PM,40,11.8865,88.46,"$3,189 ",$350 ,3538
24401197,24200943,AMIN,T,2024-06-25,CA,PM,12,23.9208,71.45,$646 ,$211 ,857
24401198,24200967,SGOY,T,2024-06-25,CA,PO,16,20.0769,99.75,"$1,360 ",$236 ,1596
